"Record ID","Store Name","Store Type","Street Number","Street Name","Additional Address","City","State","Zip Code","Zip4","County","Latitude","Longitude","Authorization Date","End Date"
1348004,"ALDI 82003","Supermarket","1817","E Main St",NA,"Prattville","AL","36066","5505","AUTAUGA",32.46059,-86.4211,"12/04/2018",NA
1052898,"BD Express","Convenience Store","400","Upper Kingston Rd",NA,"Prattville","AL","36067","2320","AUTAUGA",32.46785,-86.47619,"06/27/2012",NA
1460319,"Beeline 509","Convenience Store","104","Highway 82 Byp E",NA,"Prattville","AL","36067","4602","AUTAUGA",32.43773,-86.47313,"11/02/2021",NA
972347,"Circle K 2723830","Convenience Store","716","S Memorial Dr",NA,"Prattville","AL","36067","5712","AUTAUGA",32.45975,-86.45081,"09/28/2010",NA
976632,"Circle K 2723831","Convenience Store","1846","Highway 14 E",NA,"Prattville","AL","36066","7264","AUTAUGA",32.48267,-86.41962,"10/26/2010",NA
1313299,"Circle K 2709067","Convenience Store","1715","S Memorial Dr",NA,"Prattville","AL","36067","6531","AUTAUGA",32.42411,-86.41134,"10/26/2023",NA
1496033,"Circle K Store 2706634","Convenience Store","101","Highway 82 Byp W",NA,"Prattville","AL","36067","4525","AUTAUGA",32.43824,-86.47461,"03/15/2022",NA
1420637,"Corner Market NO","Convenience Store","299","N Memorial Dr",NA,"Prattville","AL","36067","3344","AUTAUGA",32.4698,-86.45173,"09/01/2020",NA
1463224,"Country Mart","Convenience Store","3356","Highway 82 W",NA,"Billingsley","AL","36006","3623","AUTAUGA",32.62841,-86.7383,"09/02/2021",NA
1481985,"D&d One  Stop","Convenience Store","3045","US Highway 31 N",NA,"Marbury","AL","36051","3028","AUTAUGA",32.70088,-86.49525,"12/07/2021",NA
1215923,"Jet Pep 47","Convenience Store","1347","S Memorial Dr",NA,"Prattville","AL","36067","6240","AUTAUGA",32.44209,-86.43078,"11/09/2015",NA
1540125,"Kwik Shop","Convenience Store","1679","E Main St",NA,"Prattville","AL","36066","3500","AUTAUGA",32.46084,-86.42601,"03/27/2023",NA
1538332,"Kwik Shops 130","Convenience Store","203","Interstate Park Dr",NA,"Prattville","AL","36066","7330","AUTAUGA",32.48574,-86.41067,"03/16/2023",NA
991183,"Murphy Express 8542","Convenience Store","2189","Cobbs Ford Rd",NA,"Prattville","AL","36066","7701","AUTAUGA",32.45981,-86.40786,"03/07/2011",NA
1537364,"Petro Mart","Convenience Store","219","S Memorial Dr",NA,"Prattville","AL","36067","3623","AUTAUGA",32.46366,-86.45028,"03/06/2023",NA
1313301,"Piggly Wiggly 36","Super Store","2003","US Highway 31 N",NA,"Deatsville","AL","36022","2705","AUTAUGA",32.58288,-86.46436,"02/21/2018",NA
1523299,"Posey Crossroads","Convenience Store","2001","County Road 57",NA,"Prattville","AL","36067","8071","AUTAUGA",32.57403,-86.55195,"11/16/2022",NA
1541017,"Prattville Coosa Mart","Convenience Store","1669","Highway 31 N",NA,"Prattville","AL","36067","6826","AUTAUGA",32.54485,-86.45751,"04/25/2023",NA
968896,"Prattville Food Outlet","Supermarket","720","E Main St",NA,"Prattville","AL","36067","3620","AUTAUGA",32.4602,-86.45291,"09/17/2010",NA
867992,"PUBLIX 1228","Supermarket","2451","Cobbs Ford Rd",NA,"Prattville","AL","36066","7707","AUTAUGA",32.46002,-86.39355,"10/09/2008",NA
883367,"Raceway #6708","Convenience Store","2560","Cobbs Ford Rd",NA,"Prattville","AL","36066","7708","AUTAUGA",32.45926,-86.39225,"07/14/2022",NA
826489,"Target Store T-2274","Super Store","2754","Legends Pkwy",NA,"Prattville","AL","36066","7748","AUTAUGA",32.45864,-86.40033,"07/07/2007",NA
969383,"TEXACO FOOD MART","Convenience Store","1670","Highway 31 N",NA,"Prattville","AL","36067","6825","AUTAUGA",32.54483,-86.45737,"01/05/2011",NA
1423920,"Texco Food Mart","Convenience Store","402","S Washington St",NA,"Prattville","AL","36067","3937","AUTAUGA",32.45779,-86.47074,"04/26/2023",NA
1463192,"United Food And Fuel","Convenience Store","1610","Highway 31 N",NA,"Prattville","AL","36067","6824","AUTAUGA",32.53844,-86.45564,"08/24/2021",NA
463907,"Walmart S/C  483","Super Store","1903","Cobbs Ford Rd",NA,"Prattville","AL","36066","7230","AUTAUGA",32.46043,-86.41704,"08/14/1996",NA
596317,"WINN-DIXIE  527","Supermarket","701","E Main St",NA,"Prattville","AL","36067","3603","AUTAUGA",32.46035,-86.45512,"06/06/1974",NA
1100702,"Z Mars Inc","Convenience Store","369","E Main St",NA,"Prattville","AL","36067","3419","AUTAUGA",32.45926,-86.46504,"01/05/2015",NA
1496066,"ALDI 76152","Supermarket","130","E Pride Blvd",NA,"Foley","AL","36535",NA,"BALDWIN",30.3811,-87.68764,"03/15/2022",NA
1508800,"ALDI 76147","Supermarket","27060","US Highway 98",NA,"Daphne","AL","36526","4824","BALDWIN",30.61922,-87.90536,"06/24/2022",NA
1523999,"ALDI 82040","Supermarket","10140","County Rd. 48",NA,"Fairhope","AL","36532",NA,"BALDWIN",30.52356,-87.85147,"10/27/2022",NA
1558183,"Bay Minette Marathon","Convenience Store","2001","S US Highway 31",NA,"Bay Minette","AL","36507","2600","BALDWIN",30.85203,-87.77589,"09/14/2023",NA
1146267,"Beach Express","Convenience Store","1002","State Highway 59 S",NA,"Summerdale","AL","36580","4158","BALDWIN",30.47172,-87.70185,"05/16/2014",NA
1254023,"Big Country 1","Convenience Store","1033","Highway 59 S",NA,"Summerdale","AL","36580","4155","BALDWIN",30.4705,-87.70073,"11/17/2016",NA
1231587,"CashSaver 14","Supermarket","710","McMeans Ave",NA,"Bay Minette","AL","36507","3348","BALDWIN",30.88592,-87.78662,"02/18/2016",NA
885970,"CEFCO 406","Convenience Store","29626","State Highway 81",NA,"Daphne","AL","36526",NA,"BALDWIN",30.65618,-87.85199,"03/11/2009",NA
885967,"CEFCO 404","Convenience Store","21485","Highway 59",NA,"Robertsdale","AL","36567",NA,"BALDWIN",30.53787,-87.70842,"03/11/2009",NA
1232187,"CEFCO 401","Convenience Store","22772","Highway 98",NA,"Fairhope","AL","36532",NA,"BALDWIN",30.55692,-87.89326,"05/12/2016",NA
1232193,"CEFCO 402","Convenience Store","18983","Greeno Rd",NA,"Fairhope","AL","36532","7054","BALDWIN",30.50149,-87.88619,"05/13/2016",NA
1232198,"CEFCO 405","Convenience Store","22023","US Highway 98",NA,"Foley","AL","36535","5470","BALDWIN",30.40687,-87.64839,"05/13/2016",NA
1555112,"CEFCO 430","Convenience Store","3665","Gulf Shores Pkwy",NA,"Gulf Shores","AL","36542","2721","BALDWIN",30.2972,-87.68359,"07/06/2023",NA
1562740,"CEFCO 435","Convenience Store","8101","N Hickory St",NA,"Loxley","AL","36551","3130","BALDWIN",30.63373,-87.7573,"09/12/2023",NA
1046666,"Checkouts, Inc","Convenience Store","814","S Mckenzie St",NA,"Foley","AL","36535","1811","BALDWIN",30.39755,-87.68334,"03/20/2012",NA
1529329,"Chevron 684","Convenience Store","355","S Greeno Rd",NA,"Fairhope","AL","36532","1904","BALDWIN",30.5161,-87.88564,"12/13/2022",NA
249738,"CIRCLE K  4164","Convenience Store","28685","N Main St",NA,"Daphne","AL","36526","7217","BALDWIN",30.64395,-87.91072,"03/31/1982",NA
894465,"Circle K 2705999","Convenience Store","26467","State Highway 59",NA,"Loxley","AL","36551",NA,"BALDWIN",30.6096,-87.74933,"05/27/2009",NA
911602,"Circle K 2721561","Convenience Store","35100","Highway 59",NA,"Stapleton","AL","36578",NA,"BALDWIN",30.73701,-87.79302,"08/31/2009",NA
1048985,"Circle K 2721558","Convenience Store","2021","Gulf Shores Pkwy",NA,"Gulf Shores","AL","36542","3400","BALDWIN",30.27261,-87.68747,"03/08/2012",NA
1048987,"Circle K 2721560","Convenience Store","3215","S Hickory St",NA,"Loxley","AL","36551",NA,"BALDWIN",30.61811,-87.75297,"03/08/2012",NA
1048995,"Circle K 2721578","Convenience Store","49980","State Highway 225",NA,"Bay Minette","AL","36507","8103","BALDWIN",30.95202,-87.85632,"03/08/2012",NA
1048998,"Circle K 2721582","Convenience Store","4574","Orange Beach Blvd",NA,"Orange Beach","AL","36561","3410","BALDWIN",30.29155,-87.58122,"03/08/2012",NA
1048999,"Circle K 2721584","Convenience Store","22164","US Highway 98",NA,"Foley","AL","36535","4349","BALDWIN",30.40676,-87.64725,"03/08/2012",NA
1155585,"cIRCLE K 2702524","Convenience Store","701","S McKenzie St",NA,"Foley","AL","36535",NA,"BALDWIN",30.39916,-87.68275,"06/09/2014",NA
1398307,"CIRCLE K 2704391","Convenience Store","34531","US Highway 98",NA,"Lillian","AL","36549","4027","BALDWIN",30.40892,-87.43803,"02/27/2020",NA
1048989,"Circle K 2721572","Convenience Store","410D","Dolive St",NA,"Bay Minette","AL","36507","3231","BALDWIN",30.88096,-87.77842,"05/20/2020",NA
983414,"Circle K Store 2707739","Convenience Store","21980","State Highway 59 S",NA,"Robertsdale","AL","36567","6700","BALDWIN",30.54535,-87.70831,"12/14/2010",NA
1554355,"Circle K Store 2707057","Convenience Store","8951","Highway 59",NA,"Foley","AL","36535",NA,"BALDWIN",30.35502,-87.684,"07/12/2023",NA
